"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.505261176577073,0.14148483117162,3.57113319069657,0.000355440077752464
"localityKilasairo River NW",-0.234170199205135,0.105397721333017,-2.22177667831399,0.0262984015735556
"localityKilasairo River SE",0.0216135290246405,0.0699873894998314,0.308820334335982,0.757458200147781
"localityKwambu Platforms",-0.112161590704806,0.0908915388656968,-1.23401575223122,0.217197034546437
"localityLoto Beach",0.0376228363799495,0.0671608892960719,0.560189669527648,0.575350072581933
"localityMidway Cove",0.208902105710774,0.0634432029276967,3.29274210743822,0.000992154348114727
"localityNW Point",0.253111816484386,0.0898104184145487,2.81829013774401,0.00482801609128082
"localityParadise Springs",0.206621445145383,0.462591039634979,0.44666114870799,0.655119737440564
"localityPukau NW",-0.0211533375229843,0.060278247277955,-0.350928211721918,0.725642205913883
"date.diff",-0.0266296744414968,0.0277290985105084,-0.960351250921665,0.336878464125765
"(Intercept).1",0.500060872936254,0.142492924703296,3.50937335294016,0.000449163913143546
"localityKilasairo River NW.1",-0.170109337241796,0.0755674753710702,-2.25109197318665,0.0243797127113271
"localityKilasairo River SE.1",-0.0388948305681225,0.0735476763771828,-0.52883833295635,0.596917603536793
"localityKwambu Platforms.1",-0.364880252930611,0.0928487473881307,-3.92983495410359,8.50041883874841e-05
"localityLoto Beach.1",-0.084658661135979,0.0701519114491461,-1.20679051200692,0.22751283093375
"localityMidway Cove.1",0.00512727746079191,0.0669219317389718,0.0766158018389367,0.938929187854221
"localityNW Point.1",0.0189665115614455,0.0711184804538221,0.266688931490327,0.789708676758605
"localityParadise Springs.1",-1.36048185470979,0.601669342592592,-2.26117862154564,0.0237481983837402
"localityPukau NW.1",-0.0689079484308788,0.0674792195995186,-1.02117287129044,0.307172542952335
"date.diff.1",-0.0175338850942712,0.0281203752371563,-0.623529556287824,0.532936585820329
