"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",7.02299250763541,0.695992360889351,10.0906172284151,6.07860883548191e-24
"localityKilasairo River NW",-2.60452344038413,2.72067578576576,-0.957307538814685,0.338412051331857
"localityKilasairo River SE",4.91704043893053,1.15348577348575,4.26276643540354,2.01911531791602e-05
"localityKwambu Platforms",-6.29149718896266,4.7480461680095,-1.32507076939402,0.18514768007266
"localityLoto Beach",0.928292049071832,0.989543822453082,0.938100999681442,0.348192508142287
"localityMidway Cove",1.84945770977823,1.00855700302071,1.83376616714669,0.0666887119196571
"localityNW Point",2.46848489533898,1.06033606341775,2.32802125713087,0.0199109749473946
"localityParadise Springs",-1.2079732229956,1.09294249616183,-1.10524865419519,0.269051859794698
"localityPukau NW",0.0788128004173381,0.93348515549489,0.0844285524557219,0.932715706747708
"(Intercept).1",7.62781921472676,0.297956526692281,25.6004434586678,1.50829470063148e-144
"localityKilasairo River NW.1",-1.41870231869545,1.02541484086919,-1.38353987298729,0.166499390135145
"localityKilasairo River SE.1",0.888403259539573,0.505120244229019,1.75879559310788,0.0786122335844209
"localityKwambu Platforms.1",0.0999339469994131,0.624408977709826,0.160045660083149,0.872845106224253
"localityLoto Beach.1",-1.63055851499355,0.727286075753503,-2.24197680851269,0.0249628712153576
"localityMidway Cove.1",-0.131480709605603,0.592901051932381,-0.221758266707541,0.824502068890215
"localityNW Point.1",-0.471816941241352,0.667918395569004,-0.706399081641415,0.479939991829563
"localityParadise Springs.1",-8.07280896216334,2.42438234485617,-3.32984150758707,0.000868954309806981
"localityPukau NW.1",-0.758733143505008,0.41585196419853,-1.82452701640429,0.0680724358070508
