"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.153599213600653,0.139402276083883,-1.10184150442585,0.270530582944358
"localityKilasairo River NW",0.13029755985677,0.0687286611449729,1.89582566699396,0.0579831006914621
"localityKilasairo River SE",0.19177064727547,0.0910076899572543,2.10719168199461,0.0351009676614664
"localityKwambu Platforms",0.700689837793521,0.248356969511317,2.82130128730529,0.00478292590867756
"localityLoto Beach",0.0323203010445609,0.063871641895596,0.506019574342419,0.61284290837346
"localityMidway Cove",0.0628693555691992,0.0602614491237944,1.04327653057343,0.296820237573285
"localityNW Point",0.12335287198085,0.0643680412302449,1.91636827256583,0.0553182363113774
"localityParadise Springs",0.0293600542803096,0.108207311851333,0.271331518896316,0.786136066815912
"localityPukau NW",0.231432713442834,0.0661307883655987,3.49962126813576,0.000465919621851818
"date.diff",0.0627202731198585,0.0274114658277001,2.28810358096493,0.0221314897638165
"(Intercept).1",0.114846860802294,0.115606094495835,0.993432580722912,0.320499190627532
"localityKilasairo River NW.1",-0.0144432144087236,0.0617882732556599,-0.233753326443713,0.815176485847911
"localityKilasairo River SE.1",-0.0146016202795938,0.0600335060657124,-0.243224513051277,0.8078314782726
"localityKwambu Platforms.1",-0.153851221391551,0.0762774732229607,-2.01699420406652,0.043696118164624
"localityLoto Beach.1",-0.0643297101401012,0.0573573243445652,-1.12156051341674,0.26204934862253
"localityMidway Cove.1",-0.0755538344100207,0.0546151481580219,-1.38338605603367,0.166546523778568
"localityNW Point.1",-0.0500312630288216,0.0581012921256483,-0.861104137247504,0.38918069076006
"localityParadise Springs.1",-1.17850190434041,0.403743032535642,-2.91894053734878,0.00351223213072821
"localityPukau NW.1",0.0105364104429531,0.0518827137831289,0.203081328532574,0.83907146531781
"date.diff.1",0.023736986196531,0.0227093538466637,1.04525150106894,0.295906746382013
