"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.00014394837086,1.00028776087174,0.876303608704514,0.34919838010835
"s(pred.date):localityKilasairo River NW",1.00000859640512,1.00001653014931,0.944613952180042,0.331099512416852
"s(pred.date):localityKilasairo River SE",1.00000885914318,1.00001770919952,0.0994771705063743,0.752458366751291
"s(pred.date):localityKwambu Platforms",1.50671051283969,1.75873358251147,0.956463082355671,0.439711592253891
"s(pred.date):localityLoto Beach",1.00005854247451,1.00011701933903,0.191664147430605,0.661653155803553
"s(pred.date):localityMidway Cove",1.00000109890166,1.0000021366419,7.9035317785205,0.00493443168929497
"s(pred.date):localityNW Point",1.29331750852344,1.50188623698672,4.80915916968721,0.18127808278852
"s(pred.date):localityParadise Springs",1.00001810212336,1.00003619114935,0.29127331890881,0.589392264084188
"s(pred.date):localityPukau NW",1.00003445858056,1.00006744226789,6.73310839391449,0.00946542437567643
"s.1(pred.date):localityBonah River",1.00010132489162,1.00020253597848,0.0440805505564662,0.833842329940943
"s.1(pred.date):localityKilasairo River NW",1.61421648253523,1.86188285343335,4.43120619112881,0.128829722811872
"s.1(pred.date):localityKilasairo River SE",1.00005197811618,1.00010392460039,0.285705297473096,0.592986943700748
"s.1(pred.date):localityKwambu Platforms",1.00004736234441,1.00009088739404,0.913994528833047,0.33901190491113
"s.1(pred.date):localityLoto Beach",1.0000386877097,1.00007726935443,0.0356958276760084,0.850248217022981
"s.1(pred.date):localityMidway Cove",1.8241527458724,2.00595787423271,7.30602825766421,0.0269539982239965
"s.1(pred.date):localityNW Point",1.00005147844345,1.00009966884663,5.71966479377286,0.0167734585894251
"s.1(pred.date):localityParadise Springs",1.00001106040617,1.00002211635508,0.158834872139313,0.690246638019121
"s.1(pred.date):localityPukau NW",2.0062757330245,2.24809231065383,64.8548402692688,0
