"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.00000134236326,1.00000268449292,0.264710435329186,0.606904395326542
"s(pred.date):localityKilasairo River NW",1.00000049560229,1.00000098442312,6.78586158450814,0.00918905257822417
"s(pred.date):localityKilasairo River SE",1.82386839403898,2.0119511995041,3.86956065317765,0.137482703190507
"s(pred.date):localityKwambu Platforms",1.43335669847591,1.68010726885065,1.22018092976716,0.352634111798565
"s(pred.date):localityLoto Beach",1.00000110359346,1.00000220718108,0.449373149070293,0.50263545673168
"s(pred.date):localityMidway Cove",1.69590809495626,1.92948999785812,3.48762939595693,0.13754075584222
"s(pred.date):localityNW Point",1.32128762617923,1.54108627014106,5.28249431040039,0.158179912642388
"s(pred.date):localityParadise Springs",1.00000084768772,1.00000169535403,0.104818589064304,0.746123940458259
"s(pred.date):localityPukau NW",1.00000095865467,1.00000189110278,13.5229342157392,0.000235443025536908
"s.1(pred.date):localityBonah River",1.00000007310779,1.00000014621115,0.460690032360932,0.497303156109976
"s.1(pred.date):localityKilasairo River NW",1.95556024185888,2.09433214562725,8.19291445711962,0.0206740039709682
"s.1(pred.date):localityKilasairo River SE",1.00000130329802,1.0000025745393,2.04159134266907,0.153051293657804
"s.1(pred.date):localityKwambu Platforms",1.00000147746282,1.0000029017326,0.610924557802254,0.434440458779009
"s.1(pred.date):localityLoto Beach",1.00000107240302,1.00000214480374,0.0305738434055031,0.861197866088031
"s.1(pred.date):localityMidway Cove",1.00000059389795,1.00000116914569,1.83316913397758,0.175755958572587
"s.1(pred.date):localityNW Point",1.00000092621982,1.00000182351686,1.76342338371452,0.184199935230089
"s.1(pred.date):localityParadise Springs",1.00000178244415,1.00000356484858,0.687135686697511,0.407141808373567
"s.1(pred.date):localityPukau NW",1.80636727323858,2.04270918507006,51.2373479107641,0
