"","edf","Ref.df","Chi.sq","p-value"
"s(pred.date):localityBonah River",1.00003871604864,1.00006749320254,2.27671018118319,0.131349149950384
"s(pred.date):localityKilasairo River NW",1.00002953208542,1.00005899378392,1.73465940606769,0.187839681136503
"s(pred.date):localityKilasairo River SE",1.79277655426405,1.95700381427977,4.39978446365004,0.0859827735443954
"s(pred.date):localityKwambu Platforms",1.88929599258788,1.98770633705791,12.7487844586213,0.00298823322735581
"s(pred.date):localityLoto Beach",1.00002670491481,1.00005339142315,1.01887460959152,0.31276762371869
"s(pred.date):localityMidway Cove",1.00001100890544,1.00002199326844,1.28372586281087,0.257214614528862
"s(pred.date):localityNW Point",1.00001530911894,1.00003061644625,2.27871626821878,0.131180373840663
"s(pred.date):localityParadise Springs",1.00001512660394,1.00002748449739,0.243591251178864,0.621615165603393
"s(pred.date):localityPukau NW",1.8641266952863,1.98128213375246,6.36253050075701,0.0306450963868796
"s.1(pred.date):localityBonah River",1.77676962738264,1.94997032880826,3.41324089994615,0.140898317364941
"s.1(pred.date):localityKilasairo River NW",1.00003124426437,1.00006243059858,1.25419971245484,0.262783299452582
"s.1(pred.date):localityKilasairo River SE",1.00000561793983,1.00000983588269,1.53700501121045,0.215073753234061
"s.1(pred.date):localityKwambu Platforms",1.00000367648347,1.0000066715665,1.7466152409594,0.186297365183864
"s.1(pred.date):localityLoto Beach",1.00003828063724,1.00007654202161,0.340746401299914,0.559379979467754
"s.1(pred.date):localityMidway Cove",1.00001269276559,1.00002536524265,2.43791881889494,0.118447783738168
"s.1(pred.date):localityNW Point",1.00001789669956,1.00003579069898,1.34575861251052,0.24603726025041
"s.1(pred.date):localityParadise Springs",1.88243766478445,1.98616981095284,8.69477015905833,0.0157805786643579
"s.1(pred.date):localityPukau NW",1.00005303085836,1.00009550852411,1.43046953348813,0.231738893398889
