"","grCat","grSum","spCat","genspDf$spCat"
"1","branching",907,"Acropora (51%): Pocillopora (18.6%): Stylophora (9.5%): Isopora (7.3%): Seriatopora (6.8%): Porites (4.9%): Galaxea (1.9%)","Acropora NA (45.2%): Pocillopora damicornis (9.3%): Stylophora pistillata (8.8%): NA NA (7.6%): Isopora palifera (7.2%): Seriatopora hystrix (6.6%): Porites NA (4.7%): Pocillopora NA (4.6%): Pocillopora verrucosa (3.8%): Acropora robusta (2.2%)"
"2","Unknown form:Unknown form",669,"Acropora (93%): Isopora (5.4%): Galaxea (1.6%)","Acropora NA (64.2%): Acropora hyacinthus (8.9%): Acropora digitifera (8.3%): Isopora palifera (5%): Acropora gemmifera (4.5%): NA NA (4.4%): Acropora robusta (3%): Acropora cytherea (1.7%)"
"3","plate",520,"Acropora (91.7%): Montipora (3.8%): Porites (2.5%): Galaxea (1.9%)","Acropora hyacinthus (50.1%): Acropora cytherea (20.8%): Acropora NA (17.7%): NA NA (4.4%): Acropora digitifera (2.3%): Montipora NA (2.1%): Porites lichen (1.3%): Galaxea fascicularis (1.2%)"
"4","massive",385,"Porites (38.2%): Goniastrea (12.2%): Platygyra (9.6%): Favia (6.8%): Favites (6%): Leptoria (5.2%): Montipora (4.9%): Hydnophora (3.9%): Cyphastrea (3.6%): Dipsastraea (3.4%): Coeloseris (1.8%): Astra (1.6%): Lobophyllia (1.6%): Leptastrea (1.3%)","Porites NA (34.8%): NA NA (17.3%): Favia NA (6.5%): Goniastrea retiformis (6%): Leptoria phrygia (4.5%): Montipora NA (4%): Hydnophora microconos (3.5%): Favites NA (3.3%): Platygyra daedalea (3.3%): Goniastrea NA (2.5%): Platygyra NA (2.5%): Coeloseris mayeri (1.8%): Cyphastrea NA (1.8%): Dipsastraea pallida (1.5%): Favites pentagona (1.5%): Lobophyllia NA (1.5%): Goniastrea edwardsi (1.3%): Goniastrea stelligera (1.3%): Platygyra pini (1.3%)"
"5","branching stout",457,"Isopora (59.7%): Stylophora (31.9%): Pocillopora (5.9%): Acropora (2.4%)","Isopora palifera (57.4%): Stylophora pistillata (30%): NA NA (3.4%): Pocillopora NA (2.1%): Acropora NA (1.3%): Pocillopora damicornis (1.3%): Pocillopora verrucosa (1.3%): Acropora robusta (1.1%): Pocillopora grandis (1.1%): Stylophora NA (1.1%)"
"6","table:table",435,"Acropora (100%)","Acropora hyacinthus (41.6%): Acropora NA (33.1%): Acropora cytherea (17.5%): Acropora digitifera (6.6%): Acropora clathrata (1.2%)"
"7","branching medium",403,"Acropora (60.8%): Pocillopora (36.7%): Stylophora (2.5%)","Acropora NA (53%): Pocillopora damicornis (35.2%): NA NA (3.7%): Acropora milleopora (2%): Stylophora pistillata (2%): Acropora robusta (1.5%): Acropora valida (1.5%): Acropora nasuta (1.2%)"
"8","blade",401,"Isopora (96%): Stylophora (2.7%): Pocillopora (1.2%)","Isopora palifera (96%): Stylophora pistillata (2.8%): NA NA (1.3%)"
"9","branching:branching",328,"Acropora (98.5%): Galaxea (1.5%)","Acropora NA (89.5%): Acropora robusta (5.9%): Acropora digitifera (2.3%): Acropora intermedia (2.3%)"
"10","frond",287,"Stylophora (49.5%): Isopora (32.1%): Pocillopora (17.1%): Acropora (1.4%)","Stylophora pistillata (48.8%): Isopora palifera (31.6%): Pocillopora grandis (6.5%): Pocillopora verrucosa (4.8%): Pocillopora NA (3.8%): NA NA (3.1%): Pocillopora meandrina (1.4%)"
"11","branching thin",191,"Seriatopora (46.6%): Acropora (37.7%): Pocillopora (15.7%)","Seriatopora hystrix (44.9%): Acropora NA (33.2%): Pocillopora damicornis (14.3%): NA NA (3.6%): Acropora valida (2%): Acropora cytherea (1%): Pocillopora verrucosa (1%)"
"12","No photo missing transect:No photo missing transect",154,"Acropora (98.1%): Isopora (1.9%)","Acropora NA (40.1%): Acropora hyacinthus (34.2%): Acropora digitifera (11.8%): Acropora cytherea (3.3%): Acropora valida (2.6%): NA NA (2.6%): Acropora intermedia (2%): Isopora palifera (2%): Acropora nasuta (1.3%)"
"13","arborescent:arborescent",150,"Acropora (98.7%): Isopora (1.3%)","Acropora NA (73.5%): Acropora robusta (14.3%): Acropora intermedia (5.4%): Acropora muricata (5.4%): NA NA (1.4%)"
