"","Var1","Var2","Freq"
"157","branching","Acropora NA",1441
"554","branching_stout","Isopora palifera",1036
"162","unknown","Acropora NA",650
"101","table_plate_laminar","Acropora hyacinthus",582
"841","branching","Pocillopora damicornis",346
"968","branching_stout","Stylophora pistillata",336
"161","table_plate_laminar","Acropora NA",271
"53","table_plate_laminar","Acropora cytherea",211
"898","massive_columnar_submassive","Porites NA",170
"967","branching","Stylophora pistillata",167
"739","branching","NA NA",164
"943","branching","Seriatopora hystrix",163
"55","branching","Acropora digitifera",156
"187","branching","Acropora robusta",132
"448","massive_columnar_submassive","Galaxea fascicularis",125
"742","massive_columnar_submassive","NA NA",115
"744","unknown","NA NA",106
"553","branching","Isopora palifera",74
"79","branching","Acropora gemmifera",56
"865","branching","Pocillopora verrucosa",56
"454","massive_columnar_submassive","Galaxea NA",54
"859","branching","Pocillopora NA",54
"160","massive_columnar_submassive","Acropora NA",52
"604","massive_columnar_submassive","Lobophyllia NA",51
"556","massive_columnar_submassive","Isopora palifera",48
"895","branching","Porites NA",47
"59","table_plate_laminar","Acropora digitifera",40
"91","branching","Acropora humilis",39
"740","branching_stout","NA NA",38
"699","encrusting","Montipora NA",35
"743","table_plate_laminar","NA NA",34
"103","branching","Acropora intermedia",33
"542","branching_stout","Isopora cuneata",33
"169","branching","Acropora nasuta",31
"235","branching","Acropora valida",28
"866","branching_stout","Pocillopora verrucosa",28
"382","massive_columnar_submassive","Favia NA",26
"490","massive_columnar_submassive","Goniastrea retiformis",25
"848","branching_stout","Pocillopora grandis",25
"860","branching_stout","Pocillopora NA",24
"58","massive_columnar_submassive","Acropora digitifera",23
"211","branching","Acropora selago",22
"741","encrusting","NA NA",22
"900","unknown","Porites NA",22
"127","branching","Acropora milleopora",21
"555","encrusting","Isopora palifera",20
"586","massive_columnar_submassive","Leptoria phrygia",20
"441","encrusting","Galaxea astreata",18
"897","encrusting","Porites NA",18
"538","massive_columnar_submassive","Hydnophora microconos",16
"700","massive_columnar_submassive","Montipora NA",16
"151","branching","Acropora muricata",15
"158","branching_stout","Acropora NA",15
"439","branching","Galaxea astreata",15
"412","massive_columnar_submassive","Favites NA",14
"701","table_plate_laminar","Montipora NA",14
"145","branching","Acropora monticulosa",13
"702","unknown","Montipora NA",13
"802","massive_columnar_submassive","Platygyra daedalea",13
"47","table_plate_laminar","Acropora clathrata",12
"67","branching","Acropora echinata",12
"315","encrusting","Cyphastrea microphthalma",12
"864","unknown","Pocillopora NA",12
"961","branching","Stylophora NA",12
"82","massive_columnar_submassive","Acropora gemmifera",11
"292","massive_columnar_submassive","Coeloseris mayeri",11
"496","massive_columnar_submassive","Goniastrea stelligera",11
"814","massive_columnar_submassive","Platygyra NA",11
"842","branching_stout","Pocillopora damicornis",11
"443","table_plate_laminar","Galaxea astreata",10
"484","massive_columnar_submassive","Goniastrea NA",10
"847","branching","Pocillopora grandis",10
"949","branching","Seriatopora NA",10
"316","massive_columnar_submassive","Cyphastrea microphthalma",9
"592","massive_columnar_submassive","Lobophyllia corymbosa",9
"893","table_plate_laminar","Porites lichen",9
"442","massive_columnar_submassive","Galaxea astreata",8
"891","encrusting","Porites lichen",8
"962","branching_stout","Stylophora NA",8
"37","branching","Acropora cerealis",7
"181","branching","Acropora pulchra",7
"188","branching_stout","Acropora robusta",7
"322","massive_columnar_submassive","Cyphastrea NA",7
"49","branching","Acropora cytherea",6
"364","massive_columnar_submassive","Dipsastraea pallida",6
"381","encrusting","Favia NA",6
"418","massive_columnar_submassive","Favites pentagona",6
"432","unknown","Fungi NA",6
"466","massive_columnar_submassive","Goniastrea edwardsi",6
"922","massive_columnar_submassive","Porites vaughani",6
"97","branching","Acropora hyacinthus",5
"115","branching","Acropora lutkeni",5
"159","encrusting","Acropora NA",5
"163","branching","Acropora nana",5
"384","unknown","Favia NA",5
"550","massive_columnar_submassive","Isopora NA",5
"723","encrusting","Montipora turgescens",5
"820","massive_columnar_submassive","Platygyra pini",5
"854","branching_stout","Pocillopora meandrina",5
"4","massive_columnar_submassive","Acanthastrea NA",4
"73","branching","Acropora florida",4
"94","massive_columnar_submassive","Acropora humilis",4
"280","massive_columnar_submassive","Caulastrea NA",4
"328","massive_columnar_submassive","Cyphastrea serailia",4
"400","massive_columnar_submassive","Favites halicora",4
"411","encrusting","Favites NA",4
"529","branching","Hydnophora exesa",4
"531","encrusting","Hydnophora exesa",4
"574","massive_columnar_submassive","Leptastrea transversa",4
"601","branching","Lobophyllia NA",4
"669","encrusting","Montipora grisea",4
"687","encrusting","Montipora informis",4
"899","table_plate_laminar","Porites NA",4
"964","massive_columnar_submassive","Stylophora NA",4
"7","branching","Acropora abrotanoides",3
"109","branching","Acropora latistella",3
"205","branching","Acropora secale",3
"215","table_plate_laminar","Acropora selago",3
"250","massive_columnar_submassive","Astra curta",3
"256","massive_columnar_submassive","Astra NA",3
"327","encrusting","Cyphastrea serailia",3
"361","branching","Dipsastraea pallida",3
"414","unknown","Favites NA",3
"436","massive_columnar_submassive","Fungia fungites",3
"485","table_plate_laminar","Goniastrea NA",3
"548","branching_stout","Isopora NA",3
"639","encrusting","Montipora corbettensis",3
"651","encrusting","Montipora effusa",3
"670","massive_columnar_submassive","Montipora grisea",3
"688","massive_columnar_submassive","Montipora informis",3
"693","encrusting","Montipora mollis",3
"724","massive_columnar_submassive","Montipora turgescens",3
"783","encrusting","Pavona venosa",3
"826","massive_columnar_submassive","Platygyra sinensis",3
"871","branching","Porites annae",3
"883","branching","Porites cylindrica",3
"910","massive_columnar_submassive","Porites rus",3
"957","encrusting","Stylocoeniella armata",3
"970","massive_columnar_submassive","Stylophora pistillata",3
"978","unknown","Tridacna NA",3
"13","branching","Acropora acuminata",2
"25","branching","Acropora aspera",2
"52","massive_columnar_submassive","Acropora cytherea",2
"65","table_plate_laminar","Acropora divaricata",2
"83","table_plate_laminar","Acropora gemmifera",2
"85","branching","Acropora grandis",2
"100","massive_columnar_submassive","Acropora hyacinthus",2
"131","table_plate_laminar","Acropora milleopora",2
"221","table_plate_laminar","Acropora solitaryensis",2
"223","branching","Acropora tenuis",2
"229","branching","Acropora valenciennesi",2
"258","unknown","Astra NA",2
"306","unknown","Ctenactis NA",2
"321","encrusting","Cyphastrea NA",2
"346","massive_columnar_submassive","Dipsastraea lizardensis",2
"352","massive_columnar_submassive","Dipsastraea matthaii",2
"385","branching","Favites abdita",2
"394","massive_columnar_submassive","Favites flexuosa",2
"440","branching_stout","Galaxea astreata",2
"472","massive_columnar_submassive","Goniastrea favulus",2
"481","branching","Goniastrea NA",2
"483","encrusting","Goniastrea NA",2
"505","branching","Goniopora NA",2
"537","encrusting","Hydnophora microconos",2
"541","branching","Isopora cuneata",2
"552","unknown","Isopora NA",2
