Data Set Name,Site Name,Country Ocean,Latitude (°),Longitude (°),Elevation (m),Publication 1,Publication 2,Original Data Citation,Neotoma ID,Archive Type,Proxy General,Proxy Type,Proxy Detial,Calibration Method,Calibration Seasonality,Paleo Data Notes,Variable Name,Units,Datum,Climate Variable,Climate Variable Detail,Seasonality,Season General,Direction,Min Year,Max Year,Resolution,Ages Per kyr,In Compilation,QC Certification,QC Comments,Link to LiPDverse,,,
EN32_PC6.Flower.2004,EN32_PC6,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,26.946,-91.35,-2280,10.1130/G20604.1,www.geosociety.org/datarepository/2004/2004095.pdf,this compilation,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=26.7011, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.73415) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,8330,22210,290,1.36,Temp12k,"JET, DSK",youngest = 8.3 ka; accept to improve subtropical coverage,http://lipdverse.org/globalHolocene/0_54_0/EN32_PC6.Flower.2004.html,,,
EN32_PC6.Flower.2004,EN32_PC6,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,26.946,-91.35,-2280,10.1130/G20604.1,www.geosociety.org/datarepository/2004/2004095.pdf,this compilation,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"Baymag (baymag_predict.m) github.com/jesstierney/BAYMAG Parameters: omega=1.5207, salinity=35.0236, pH=8.0316, clean=0, species=ruber, pstd=10, varargin=0",,,temperature,degC,abs,T,sea@surface,4 5 6 7 8 9 10 12,annual,positive,8330,22210,300,1.36,Temp12k,"JET, DSK",youngest = 8.3 ka; accept to improve subtropical coverage,http://lipdverse.org/globalHolocene/0_54_0/EN32_PC6.Flower.2004.html,,,
Hamundarstadhahals.Caseldine.2006,Hamundarstadhahals,Europe>Northern Europe>Scandinavia>Sweden,65.97,-18.45,100,10.1016/j.quascirev.2006.02.003,,this compilation,,LakeSediment,chironomid,chironomid,assemblage,WAPLS,7,Based on 52-lake training set from Iceland,temperature,degC,abs,T,air@surface,Summer,summerOnly,positive,7686,10738,90,2.29,Temp12k,"SEN, DSK, MTO, PGL",,http://lipdverse.org/globalHolocene/0_54_0/Hamundarstadhahals.Caseldine.2006.html,,,
Vatnamyri.Holmes.2011,Vatnamyri,Atlantic Ocean>North Atlantic Ocean>Iceland,65.9,-18.3,220,10.1016/j.quascirev.2006.02.003,,this compilation,,LakeSediment,chironomid,chironomid,assemblage,WAPLS,7,Combined Norwegian Icelandic WAPLS 2 component model. r2 boot is 0.97,temperature,degC,abs,T,air@surface,summer,summerOnly,positive,7574,10916,56,3.89,Temp12k,SE,,http://lipdverse.org/globalHolocene/0_54_0/Vatnamyri.Holmes.2011.html,,,
MD02_2515.McClymont.2012,MD02_2515,Pacific Ocean>North Pacific Ocean,27.4835,-112.0743,-881,10.1029/2011PA002226,,10.1594/PANGAEA.861260,,MarineSediment,other biomarker,GDGT,TEX86,"Bayspar (bayspar_tex.m) 10.1016/j.gca.2013.11.026 Parameters: prior_std=10, runname=SST, varargin=1000,1",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,6825,24989,47,0.77,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/MD02_2515.McClymont.2012.html,,,
MD02_2515.McClymont.2012,MD02_2515,Pacific Ocean>North Pacific Ocean,27.4835,-112.0743,-881,10.1029/2011PA002226,,10.1594/PANGAEA.861260,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,6825,24989,30,0.77,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/MD02_2515.McClymont.2012.html,,,
Topptjonna.Paus.2011,Topptjonna,Europe>Northern Europe>Scandinavia>Norway,62.38,9.67,1316,10.1016/j.quascirev.2011.04.010,,this compilation,,LakeSediment,chironomid,chironomid,assemblage,WAPLS,7,"153-lake Norwegian training set (Brooks and Birks 2000, 2001)",temperature,degC,abs,T,air@surface,Summer,summerOnly,positive,6133,11824,79,2.11,Temp12k,"SEN, MTO, GVE",hiatus at 9500 cal BP; the chronology is inaccurate below this,http://lipdverse.org/globalHolocene/0_54_0/Topptjonna.Paus.2011.html,,,
KNR166_JPC26.Schmidt.2011,KNR166_JPC26,Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico,24.3267,-83.2524,-546,10.1029/2011PA002157,10.1016/j.epsl.2015.06.062,www.ncdc.noaa.gov/paleo/study/12257,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=26.726, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.81296) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,6130,19980,10,1.50,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/KNR166_JPC26.Schmidt.2011.html,,,
Indian.Bjorck.1985,Indian,North America>Canada>Ontario,50.92,-90.45,383,10.1139/e85-090,10.1038/nature25464,this compilation,10.21233/TP4A-H605,LakeSediment,pollen,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,positive,5820,10290,152,0.67,Temp12k,TB,,http://lipdverse.org/globalHolocene/0_54_0/Indian.Bjorck.1985.html,,,
Indian.Bjorck.1985,Indian,North America>Canada>Ontario,50.92,-90.45,383,10.1139/e85-090,10.1038/nature25464,this compilation,10.21233/TP4A-H605,LakeSediment,pollen,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,positive,5820,10290,152,0.67,Temp12k,TB,,http://lipdverse.org/globalHolocene/0_54_0/Indian.Bjorck.1985.html,,,
Indian.Bjorck.1985,Indian,North America>Canada>Ontario,50.92,-90.45,383,10.1139/e85-090,10.1038/nature25464,this compilation,10.21233/TP4A-H605,LakeSediment,pollen,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,5820,10290,152,0.67,Temp12k,TB,,http://lipdverse.org/globalHolocene/0_54_0/Indian.Bjorck.1985.html,,,
MD01-2416.Sarnthien.2004,MD01-2416,Pacific Ocean>North Pacific Ocean,51.268,167.725,-2317,10.1016/j.quascirev.2004.08.008,,10.1594/PANGAEA.738119,,MarineSediment,other microfossil,foraminifera,assemblage,"ANN (Malmgren et al., 2001).",,,temperature,degC,abs,T,sea@surface,Summer,summerOnly,positive,5727,11920,101,0.65,Temp12k,"OC, DSK","youngest age = 3.7 ka, but samples are all older",http://lipdverse.org/globalHolocene/0_54_0/MD01-2416.Sarnthien.2004.html,,,
TR163_31.Dubois.2009,TR163_31,Pacific Ocean>South Pacific Ocean,-3.6187,-83.9707,-3205,10.1029/2009PA001781,10.1038/335708a0,www.ncdc.noaa.gov/paleo/study/12195,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,5440,24700,550,0.91,Temp12k,"JET, DSK",sample resolution is low (beween 600 and 700 yr); retain to improve SH coverage,http://lipdverse.org/globalHolocene/0_54_0/TR163_31.Dubois.2009.html,,,
Hypkana.Hajkova.2016,Hypkana,Europe>Eastern Europe>Slovakia,48.9131,22.1636,820,10.1016/j.quascirev.2016.04.001,,www.ncdc.noaa.gov/paleo/study/28046,,LakeSediment,chironomid,chironomid,assemblage,WAPLS,7,Norway-Swiss calibration dataset (Heiri et al. 2011),temperature,degC,abs,T,air@surface,Summer,summerOnly,positive,5070,13074,342,2.02,Temp12k,"RSV, MTO, OHE, PPA","largest age control gap is 3320 uncal yrs, the record is accepted with relaxing criteria: just a few records exists from the region",http://lipdverse.org/globalHolocene/0_54_0/Hypkana.Hajkova.2016.html,,,
RC27_28.Overpeck.1996,RC27_28,Indian Ocean>Arabian Sea,17.903,57.59,-268,10.1007/BF00211619,,www.ncdc.noaa.gov/paleo/study/10495,,MarineSediment,isotope,d18O,bulloides,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=26.0605, prior_std=10, species=bulloides, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.59962) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,4906,13820,257,1.13,Temp12k,"JET, DSK",ages based on median of bacon enseble,http://lipdverse.org/globalHolocene/0_54_0/RC27_28.Overpeck.1996.html,,,
LagoDellAccesa.Finsinger.2010,Lago Dell Accesa,Europe>Southern Europe>Italy,42.9888,10.8972,157,10.1002/jqs.1402,,www.ncdc.noaa.gov/paleo/study/9901,23939,LakeSediment,pollen,pollen,assemblage,WAPLS,,,temperature,degC,abs,T,air@surface,1,winterOnly,positive,4479,11552,73,1.56,Temp12k,"TB, WF",native resolution rather than 50-yr smooth,http://lipdverse.org/globalHolocene/0_54_0/LagoDellAccesa.Finsinger.2010.html,,,
CF8.Axford.2011,CF8,North America>Canada>Nunavu,70.5569,-68.9519,195,10.1130/B30329.1,10.1016/j.yqres.2008.09.006,this compilation,,LakeSediment,chironomid,chironomid,assemblage,WA with inverse deshrinking without tolerance downweighting; WA regression with inverse deshrinking with tolerance downweighting,7,Francis et al. 2006 training set (FRA06),temperatureComposite,degC,anom,T,air@surface,Summer,summerOnly,positive,4425,11464,108,1.30,Temp12k,"MTO, YLA","removed unreliable values; this timeseries was composited programmatically, with the assumption that all values are measured at equivalent levels",http://lipdverse.org/globalHolocene/0_54_0/CF8.Axford.2011.html,,,
EW0408_66JC.Praetorius.2015,EW0408_66JC,Pacific Ocean>North Pacific Ocean>Gulf Of Alaska,57.8724,-137.1045,-426,10.1038/nature15753,,www.ncdc.noaa.gov/paleo/study/22400,,MarineSediment,alkenone,alkenone,UK'37,"Bayspline (UK_predict.m) 10.1002/2017PA003201 Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,"6,7,8",summerOnly,positive,4381,13574,120,2.58,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/EW0408_66JC.Praetorius.2015.html,,,
MD97_2141.Rosenthal.2003,MD97_2141,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,8.8,121.3,-3633,10.1029/2002GL016612,10.1029/2000PA000557,www.ncdc.noaa.gov/paleo/study/2610,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"Baymag (baymag_predict.m) github.com/jesstierney/BAYMAG Parameters: omega=0.85253, clean=0, species=ruber, pstd=10, varargin=unspecified; For salinity and pH, values are specified to change through time, and are calculated using the get_phsal program from Jess Tierney, based on modern values of salinity (33.8635) and pH (8.0654) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,4334,70800,58,1.81,Temp12k,"AdV, LJ, DSK, JET",,http://lipdverse.org/globalHolocene/0_54_0/MD97_2141.Rosenthal.2003.html,,,
WIND28K.Kiefer.2006,WIND28K,Indian Ocean,-10.1538,51.0128,-4157,10.1029/2006GL027097,10.1002/2013GC004994,10.1594/PANGAEA.610271,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=27.0101, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.43129) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,4330,67530,380,0.39,Temp12k,"JET, DSK",youngest age = 7.7 ka; youngest sample = 4.3 ka; retain to improve SH coverage,http://lipdverse.org/globalHolocene/0_54_0/WIND28K.Kiefer.2006.html,,,
MD97_2141.Rosenthal.2003,MD97_2141,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,8.8,121.3,-3633,10.1029/2002GL016612,10.1029/2000PA000557,www.ncdc.noaa.gov/paleo/study/2610,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=28.4345, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.23149) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,4286,146440,44,1.81,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/MD97_2141.Rosenthal.2003.html,,,
M77_2_059_1.N_rnberg.2015,M77_2_059_1,Pacific Ocean>South Pacific Ocean,-3.9502,-81.3205,-997,10.1002/2014PA002706,10.1016/j.quascirev.2013.06.021,10.1594/PANGAEA.848848,,MarineSediment,alkenone,alkenone,UK37,"BAY: SST calculated from Uk37 (TSid=RbIuRfn9Vxz) using the BAYSPLINE program UK_predict. Parameters: pstd=10, bayes=unspecified",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,4272,17295,87,0.59,Temp12k,OC,,http://lipdverse.org/globalHolocene/0_54_0/M77_2_059_1.N_rnberg.2015.html,,,
EW0408_66JC.Praetorius.2015,EW0408_66JC,Pacific Ocean>North Pacific Ocean>Gulf Of Alaska,57.8724,-137.1045,-426,10.1038/nature15753,,www.ncdc.noaa.gov/paleo/study/22400,,MarineSediment,isotope,d18O,d18O,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=8.878, prior_std=10, species=pachy, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.93822) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,4246,13570,14,2.58,Temp12k,"JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/EW0408_66JC.Praetorius.2015.html,,,
Elfstadalsvatn.Langdon.2008,Efstadalsvatn,Atlantic Ocean>North Atlantic Ocean>Iceland,65.5612,-22.4064,123,10.1007/s10933-007-9157-3,10.1023/A:1024781918181,this compilation,,LakeSediment,chironomid,chironomid,assemblage,WAPLS,7,"reconstruction from Caseldine et al. 2003, based on Norwegian dataset (Brooks and Birks 2000)",temperature,degC,abs,T,air@surface,Summer,summerOnly,positive,4235,10840,328,0.61,Temp12k,"SEN, MTO, PGL",gap of 3.2 ka,http://lipdverse.org/globalHolocene/0_54_0/Elfstadalsvatn.Langdon.2008.html,,,
GeoB10042_1.Setiawan.2015,GeoB10042_1,Indian Ocean,-7.1135,104.6425,-2460,10.1002/2015PA002802,10.2458/azu_js_rc.55.16384,10.1594/PANGAEA.858590,,MarineSediment,Mg/Ca,Mg/Ca,G. ruber white s.s.,"BAY: SST calculated from Mg/Ca (TSid=RL64xxOUoVT) using the BAYMAG program baymag_predict. Parameters: omega=1.1352, clean=0, species=ruber, pstd=10, varargin=unspecified; For salinity and pH, values are specified to change through time, and are calculated using the get_phsal program from Jess Tierney, based on modern values of salinity (33.5498) and pH (8.0672) for the archive location and using the ages",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,4200,39020,130,0.90,Temp12k,"DSK, PMS","youngest = 4.2 ka, but passes resolution & chronology; PMS: the SST could also be wind driven upwelling",http://lipdverse.org/globalHolocene/0_54_0/GeoB10042_1.Setiawan.2015.html,,,
M77_2_056_5.Neurnberg.2015,M77_2_056_5,Pacific Ocean>South Pacific Ocean,-3.7498,-81.1247,-355,10.1002/2014PA002706,10.1016/j.quascirev.2013.06.021,10.1594/PANGAEA.848847,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"BAY: SST calculated from Mg/Ca (TSid=RsGueF5Ezuc) using the BAYMAG program baymag_predict. Parameters: omega=1.1672, clean=1, species=ruber, pstd=10, varargin=unspecified; For salinity and pH, values are specified to change through time, and are calculated using the get_phsal program from Jess Tierney, based on modern values of salinity (34.2657) and pH (7.9461) for the archive location and using the ages",,,SST_from_planktic0x2EMgCa,degC,abs,T,sea@surface,annual,annual,positive,4170,13080,110,0.92,Temp12k,"OC, JET, DSK",,http://lipdverse.org/globalHolocene/0_54_0/M77_2_056_5.Neurnberg.2015.html,,,
MD06_3067.Bolliet.2011,MD06_3067,Pacific Ocean>North Pacific Ocean,6.5143,126.4977,-1575,10.1029/2010PA001966,,10.1594/PANGAEA.770282,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"BAY: SST calculated from Mg/Ca (TSid=R89VJHY12Yf) using the BAYMAG program baymag_predict. Parameters: omega=1.1628, clean=1, species=ruber, pstd=10, varargin=unspecified; For salinity and pH, values are specified to change through time, and are calculated using the get_phsal program from Jess Tierney, based on modern values of salinity (34.0515) and pH (8.0614) for the archive location and using the ages",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,4140,158200,120,0.46,Temp12k,"RSV,OC","fails age control, gap >3000 years; accepted, age control fails only for a portion; BUT upper 3.4 ka missing",http://lipdverse.org/globalHolocene/0_54_0/MD06_3067.Bolliet.2011.html,,,
RC24_08GC.Arbuszewski.2013,RC24_08GC,Atlantic Ocean>South Atlantic Ocean,-1.3366,-11.9,-3882,10.1038/NGEO1961,oi:10.1126/science.274.5294.1867,www.ncdc.noaa.gov/paleo/study/16380,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=25.7747, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.74676) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,3715,23421,542,0.48,Temp12k,"JET, DSK",sample resolution is low (beween 500 and 600 yr); retain to improve SH coverage,http://lipdverse.org/globalHolocene/0_54_0/RC24_08GC.Arbuszewski.2013.html,,,
RC24_08GC.Arbuszewski.2013,RC24_08GC,Atlantic Ocean>South Atlantic Ocean,-1.3366,-11.9,-3882,10.1038/NGEO1961,oi:10.1126/science.274.5294.1867,www.ncdc.noaa.gov/paleo/study/16380,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"Baymag (baymag_predict.m) github.com/jesstierney/BAYMAG Parameters: omega=1.0516, salinity=35.6626, pH=8.0527, clean=1, species=ruber, pstd=10, varargin=0",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,3715,26865,542,0.48,Temp12k,"JET, DSK",sample resolution is low (beween 500 and 600 yr); retain to improve SH coverage,http://lipdverse.org/globalHolocene/0_54_0/RC24_08GC.Arbuszewski.2013.html,,,
ODP_165_999A.Schmidt.2004,ODP_165_999A,Atlantic Ocean>North Atlantic Ocean>Caribbean Sea,12.744,-78.7393,-2828,10.1038/nature02346,,www.ncdc.noaa.gov/paleo/study/2602,,MarineSediment,isotope,d18O,ruber,"Bayfoxm (byfox_predict.m) 10.1029/2019PA003576 Parameters: prior_mean=27.7278, prior_std=10, species=ruber, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (0.78801) for the archive location",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,3520,130750,450,0.47,Temp12k,"JET, DSK",sample resolution is low (beween 400 and 500 yr); retain to improve tropical coverage,http://lipdverse.org/globalHolocene/0_54_0/ODP_165_999A.Schmidt.2004.html,,,
ODP_165_999A.Schmidt.2004,ODP_165_999A,Atlantic Ocean>North Atlantic Ocean>Caribbean Sea,12.744,-78.7393,-2828,10.1038/nature02346,,www.ncdc.noaa.gov/paleo/study/2602,,MarineSediment,Mg/Ca,Mg/Ca,ruber,"Baymag (baymag_predict.m) github.com/jesstierney/BAYMAG Parameters: omega=1.6389, salinity=35.7837, pH=8.0734, clean=1, species=ruber, pstd=10, varargin=0",,,temperature,degC,abs,T,sea@surface,annual,annual,positive,3520,130750,450,0.47,Temp12k,"JET, DSK",sample resolution is low (beween 400 and 500 yr); retain to improve tropical coverage,http://lipdverse.org/globalHolocene/0_54_0/ODP_165_999A.Schmidt.2004.html,,,
