locality,site,siteNumber,date,sigma,heightFromDist,removedPriorToModelling,calDate,calSigma
Hubegong,Midway Cove,1,7934,60,7,FALSE,8220.89,90.41
Hubegong,Midway Cove,1,8004,41,5.5,FALSE,8291.62,74.19
Hubegong,Midway Cove,1,8105,53,4.5,FALSE,8406.86,84.96
Hubegong,Midway Cove,1,8035,42,3.5,FALSE,8324.68,76.56
Hubegong,Midway Cove,1,8049,42,3.5,FALSE,8340.58,77.38
Hubegong,Midway Cove,1,8160,41,2.5,FALSE,8464.32,75.83
Hubegong,Midway Cove,1,7857,79,2.5,FALSE,8142.08,105.25
Hubegong,Midway Cove,1,7963,47,1.5,FALSE,8251.37,78.83
Hubegong,Midway Cove,1,8283,43,0.5,FALSE,8618.17,101.72
Hubegong,Midway Cove,1,8125,43,0.5,FALSE,8428.24,76.60
Hubegong,Midway Cove,1,8351,43,0,FALSE,8714.33,105.54
Hubegong,Midway Cove,1,8390,43,0,FALSE,8764.98,104.88
Hubegong,Midway Cove,1,8469,45,0,FALSE,8862.02,102.49
Hubegong,Midway Cove,1,8541,44,0,FALSE,8967.49,103.77
Hubegong,Midway Cove,1,8570,68,-1,FALSE,9009.36,125.97
Hubegong,Midway Cove,1,8808,55,-2,FALSE,9300.65,95.52
Hubegong,Midway Cove,1,8857,43,-3,FALSE,9356.91,79.18
Hubegong,Midway Cove,1,8540,44,-3,FALSE,8965.89,103.85
Hubegong,Midway Cove,1,9053,77,-5,FALSE,9594.08,120.27
Hubegong,NW Point,2,8602,51,4,FALSE,9059.16,103.31
Hubegong,NW Point,2,8783,48,2,FALSE,9273.78,94.41
Hubegong,NW Point,2,8589,42,7,FALSE,9042.13,96.92
Hubegong,NW Point,2,8040,70,9,FALSE,8331.80,98.98
Hubegong,NW Point,2,8016,40,13,FALSE,8303.84,74.15
Hubegong,Loto Beach,3,8810,52,-0.5,FALSE,9303.75,93.15
Hubegong,Loto Beach,3,8516,53,1,FALSE,8926.83,111.89
Hubegong,Loto Beach,3,8558,72,1,FALSE,8990.16,131.37
Hubegong,Loto Beach,3,7580,110,9,FALSE,7855.38,127.85
Hubegong,Loto Beach,3,8215,51,9,FALSE,8528.11,94.14
Hubegong,Loto Beach,3,7854,50,8,FALSE,8137.86,87.21
Hubegong,Loto Beach,3,7987,58,7,FALSE,8273.98,86.35
Hubegong,Loto Beach,3,8104,46,6,FALSE,8405.40,79.71
Hubegong,Loto Beach,3,8331,54,5,FALSE,8688.73,113.53
Hubegong,Loto Beach,3,8189,45,5,FALSE,8495.72,82.85
Hubegong,Loto Beach,3,8036,59,5,FALSE,8326.57,89.38
Hubegong,Loto Beach,3,7900,42,5,FALSE,8188.11,82.80
Hubegong,Loto Beach,3,7955,45,5,FALSE,8244.00,78.18
Hubegong,Loto Beach,3,8234,51,5,FALSE,8552.23,99.00
Hubegong,Loto Beach,3,7688,44,5,FALSE,7966.47,80.74
Hubegong,Loto Beach,3,8118,43,5,FALSE,8420.77,76.87
Hubegong,Loto Beach,3,8173,43,5,FALSE,8478.02,78.58
Hubegong,Loto Beach,3,7916,42,5,FALSE,8205.25,81.05
Hubegong,Loto Beach,3,7904,42,5,FALSE,8192.52,82.35
Hubegong,Loto Beach,3,7952,43,5,FALSE,8241.39,77.18
Hubegong,Loto Beach,3,7993,45,5,FALSE,8280.65,76.62
Hubegong,Loto Beach,3,7970,110,5,FALSE,8256.68,133.67
Hubegong,Loto Beach,3,7927,45,5,FALSE,8216.17,81.42
Hubegong,Loto Beach,3,8165,36,5,FALSE,8468.61,72.72
Hubegong,Loto Beach,3,8063,42,5,FALSE,8357.07,77.84
Hubegong,Loto Beach,3,8035,43,4,FALSE,8324.64,77.27
Hubegong,Loto Beach,3,8394,52,2,FALSE,8769.04,110.33
Hubegong,Loto Beach,3,8365,51,0.5,FALSE,8733.17,111.07
Hubegong,Loto Beach,3,8375,53,1.8,FALSE,8745.78,111.86
Hubegong,Loto Beach,3,8339,51,2,FALSE,8699.20,111.28
Hubegong,Loto Beach,3,8285,47,2.4,FALSE,8622.26,105.24
Hubegong,Loto Beach,3,8346,49,2.9,FALSE,8708.22,109.85
Hubegong,Loto Beach,3,8337,54,3.25,FALSE,8696.96,113.68
Hubegong,Loto Beach,3,8225,47,3.95,FALSE,8538.86,93.11
Hubegong,Loto Beach,3,8165,51,4.75,FALSE,8471.50,84.30
Hubegong,Loto Beach,3,7952,44,5.05,FALSE,8241.11,77.82
Hubegong,Loto Beach,3,7533,49,6,FALSE,7807.07,80.35
Hubegong,Loto Beach,3,8064,42,6.25,FALSE,8358.18,77.74
Hubegong,Loto Beach,3,7601,83,6.9,FALSE,7873.92,106.21
Hubegong,Loto Beach,3,7817,50,8,FALSE,8099.99,84.45
Kanomi,Pukau NW,4,8508,43,0.5,FALSE,8916.00,102.00
Kanomi,Pukau NW,4,8841,56,0.5,FALSE,9336.14,91.27
Kanomi,Pukau NW,4,8664,64,1.5,FALSE,9135.37,109.00
Kanomi,Pukau NW,4,7873,64,1.5,FALSE,8158.14,95.49
Kanomi,Pukau NW,4,8375,50,1.5,FALSE,8745.82,109.93
Kanomi,Pukau NW,4,7569,41,6,FALSE,7841.57,75.48
Kanomi,Pukau NW,4,7600,48,6,FALSE,7871.69,79.47
Kanomi,Pukau NW,4,7430,64,6,FALSE,7711.01,89.06
Kanomi,Pukau NW,4,7579,47,6,FALSE,7851.11,78.71
Kanomi,Pukau NW,4,7393,68,6,FALSE,7675.87,91.31
Kanomi,Pukau NW,4,7238,47,6,FALSE,7526.19,72.14
Kanomi,Pukau NW,4,7565,49,6,FALSE,7837.39,79.95
Kanomi,Pukau NW,4,6660,44,6,FALSE,6958.35,95.99
Kanomi,Pukau NW,4,7223,73,6,FALSE,7513.66,88.96
Kanomi,Pukau NW,4,7179,40,6,FALSE,7474.99,69.29
Kanomi,Pukau NW,4,7190,58,6,FALSE,7484.05,78.88
Kanomi,Pukau NW,4,7180,59,6,FALSE,7475.17,79.77
Kanomi,Pukau NW,4,7255,41,6,FALSE,7540.80,69.62
Kanomi,Pukau NW,4,6714,45,6,FALSE,7018.71,92.85
Kanomi,Pukau NW,4,7831,46,7,FALSE,8113.39,83.17
Kanomi,Pukau NW,4,6440,42,7,FALSE,6702.88,90.85
Kanomi,Pukau NW,4,3782,37,8,FALSE,3549.00,83.98
Kanomi,Pukau NW,4,7147,64,8,FALSE,7445.21,83.97
Kanomi,Pukau NW,4,8013,42,8,FALSE,8300.86,75.35
Kanomi,Pukau NW,4,6831,44,9,FALSE,7140.94,87.54
Kanomi,Pukau NW,4,7030,41,9,FALSE,7339.51,72.67
Kanomi,Pukau NW,4,6917,42,10,FALSE,7232.81,80.75
Kanomi,Pukau NW,4,6112,40,10,FALSE,6344.46,78.43
Kanomi,Pukau NW,4,6783,43,10,FALSE,7090.34,88.22
Kanomi,Pukau NW,4,8376,55,2.5,FALSE,8747.01,113.26
Kanomi,Paradise Springs,5,8270,55,1,FALSE,8603.39,109.96
Kanomi,Paradise Springs,5,7957,52,3,FALSE,8245.03,82.80
Kanomi,Paradise Springs,5,7967,50,2,FALSE,8254.98,80.67
Kanomi,Bonah River,6,7338,47,1,TRUE,7619.82,76.28
Kanomi,Bonah River,6,7452,48,1,TRUE,7730.82,79.88
Kanomi,Bonah River,6,8053,69,1,FALSE,8346.67,98.50
Kanomi,Bonah River,6,8009,39,1,FALSE,8296.69,73.13
Kanomi,Bonah River,6,7985,47,1,FALSE,8272.60,78.08
Kanomi,Bonah River,6,8382,64,1,FALSE,8754.05,119.74
Kanomi,Bonah River,6,8400,69,1,FALSE,8775.19,123.25
Kanomi,Bonah River,6,8323,83,1,FALSE,8682.21,137.34
Kanomi,Bonah River,6,8386,52,1,FALSE,8759.52,110.78
Kanomi,Bonah River,6,8142,49,1,FALSE,8447.01,81.11
Kanomi,Bonah River,6,8287,55,1,FALSE,8627.50,112.23
Kanomi,Bonah River,6,8324,57,1,FALSE,8679.78,115.94
Kanomi,Bonah River,6,8164,55,1,FALSE,8471.47,88.02
Kanomi,Bonah River,6,6677,46,1,TRUE,6977.63,96.19
Kanomi,Bonah River,6,8364,63,1,FALSE,8732.35,119.85
Kanomi,Bonah River,6,8037,93,1,FALSE,8330.15,120.99
Kanomi,Bonah River,6,8387,66,1,FALSE,8759.76,121.29
Kanomi,Bonah River,6,8258,47,1,FALSE,8583.50,100.82
Kanomi,Bonah River,6,8199,63,1,FALSE,8513.90,102.12
Kanomi,Bonah River,6,8205,58,1,FALSE,8518.87,98.44
Kanomi,Bonah River,6,8388,60,1,FALSE,8761.42,116.44
Kanomi,Bonah River,6,8484,60,1,FALSE,8880.18,116.78
Kanomi,Bonah River,6,8294,52,1,FALSE,8636.78,110.45
Kanomi,Bonah River,6,8314,52,1,FALSE,8665.15,111.63
Kanomi,Bonah River,6,8284,60,1,FALSE,8625.06,116.21
Kanomi,Bonah River,6,7940,60,1,FALSE,8226.87,89.92
Kanomi,Bonah River,6,7930,80,1,FALSE,8214.84,105.38
Kanomi,Bonah River,6,7780,70,1,FALSE,8065.71,97.47
Kanomi,Bonah River,6,8147,50,2,FALSE,8452.39,82.06
Kanomi,Bonah River,6,8283,59,2,FALSE,8623.26,115.12
Kanomi,Bonah River,6,8000,57,2,FALSE,8287.36,85.87
Kanomi,Bonah River,6,8123,46,3,FALSE,8426.41,78.80
Kanomi,Bonah River,6,8641,56,3,FALSE,9108.43,103.20
Kanomi,Bonah River,6,7956,45,4,FALSE,8244.93,77.90
Kanomi,Bonah River,6,7872,62,4,FALSE,8157.14,94.40
Kanomi,Bonah River,6,7545,44,5,FALSE,7818.81,77.50
Kanomi,Bonah River,6,7475,54,5,FALSE,7752.78,83.25
Kanomi,Bonah River,6,7458,71,6,FALSE,7737.74,93.54
Kanomi,Bonah River,6,7411,54,6,FALSE,7691.85,82.57
Kanomi,Bonah River,6,6080,49,6.8,FALSE,6311.87,84.19
Kanomi,Bonah River,6,8324,45,0,FALSE,8677.62,106.55
Kanomi,Bonah River,6,8326,43,0.2,FALSE,8680.03,105.07
Kanomi,Bonah River,6,8207,38,0.35,FALSE,8513.69,81.22
Kanomi,Bonah River,6,8269,44,0.5,FALSE,8598.10,100.59
Kanomi,Bonah River,6,8290,41,0.6,FALSE,8627.96,100.99
Kanomi,Bonah River,6,8180,45,0.7,FALSE,8485.85,81.26
Kanomi,Bonah River,6,8268,44,0.7,FALSE,8596.57,100.21
Kanomi,Bonah River,6,8154,44,0.8,FALSE,8458.73,77.49
Kanomi,Bonah River,6,8073,43,0.95,FALSE,8369.11,78.56
Kanomi,Bonah River,6,8031,61,1.1,FALSE,8320.98,90.63
Kanomi,Bonah River,6,8270,43,1.2,FALSE,8599.27,99.88
Kanomi,Bonah River,6,8189,49,1.25,FALSE,8496.96,86.13
Kanomi,Bonah River,6,8305,47,1.35,FALSE,8651.38,107.14
Kanomi,Bonah River,6,8318,47,1.5,FALSE,8669.57,107.86
Kanomi,Bonah River,6,8456,69,1.7,FALSE,8842.59,123.75
Kanomi,Bonah River,6,8360,64,1.8,FALSE,8727.22,120.79
Kanomi,Bonah River,6,8339,49,1.9,FALSE,8698.97,109.91
Kanomi,Bonah River,6,8262,50,2.1,FALSE,8590.22,104.19
Kanomi,Bonah River,6,8577,51,2.5,FALSE,9023.59,107.11
Kanomi,Bonah River,6,8327,46,3.1,FALSE,8682.04,107.36
Sialum,Kwambu Platforms,7,6730,60,1,TRUE,7033.86,101.22
Sialum,Kwambu Platforms,7,7430,60,1,FALSE,7710.50,86.40
Sialum,Kwambu Platforms,7,7782,51,3,FALSE,8066.07,83.45
Sialum,Kwambu Platforms,7,7350,50,3,FALSE,7631.94,78.49
Sialum,Kwambu Platforms,7,7407,48,4,FALSE,7687.45,78.97
Sialum,Kwambu Platforms,7,7340,47,5,FALSE,7621.68,76.26
Sialum,Kwambu Platforms,7,6959,47,6,FALSE,7274.38,80.15
Sialum,Kwambu Platforms,7,6942,46,7,FALSE,7257.82,81.05
Sialum,Kwambu Platforms,7,8086,49,2,FALSE,8384.62,82.56
Sialum,Kilasairo River SE,8,7992,60,-1,FALSE,8279.06,88.16
Sialum,Kilasairo River SE,8,8212,76,-1,FALSE,8535.95,118.94
Sialum,Kilasairo River SE,8,8068,58,-1,FALSE,8363.84,89.67
Sialum,Kilasairo River SE,8,8308,74,-1,FALSE,8661.49,129.75
Sialum,Kilasairo River SE,8,7204,56,-1,TRUE,7496.45,77.35
Sialum,Kilasairo River SE,8,8248,62,-1,FALSE,8576.02,112.48
Sialum,Kilasairo River SE,8,8036,94,-1,FALSE,8328.80,121.97
Sialum,Kilasairo River SE,8,7737,48,1,FALSE,8020.86,82.48
Sialum,Kilasairo River SE,8,7544,52,2,FALSE,7817.45,81.97
Sialum,Kilasairo River SE,8,7330,50,3,FALSE,7612.38,77.84
Sialum,Kilasairo River SE,8,7157,50,4,FALSE,7454.82,75.55
