"","Var1","Freq"
"75","Isopora palifera",1179
"16","Acropora hyacinthus",589
"134","Stylophora pistillata",508
"117","Pocillopora damicornis",359
"8","Acropora cytherea",220
"9","Acropora digitifera",219
"132","Seriatopora hystrix",163
"30","Acropora robusta",139
"61","Galaxea fascicularis",125
"120","Pocillopora verrucosa",84
"13","Acropora gemmifera",69
"60","Galaxea astreata",53
"15","Acropora humilis",44
"74","Isopora cuneata",37
"118","Pocillopora grandis",35
"17","Acropora intermedia",33
"27","Acropora nasuta",31
"38","Acropora valida",29
"66","Goniastrea retiformis",26
"34","Acropora selago",25
"21","Acropora milleopora",23
"79","Leptoria phrygia",23
"44","Cyphastrea microphthalma",21
"73","Hydnophora microconos",18
"124","Porites lichen",18
"25","Acropora muricata",15
"24","Acropora monticulosa",14
"111","Platygyra daedalea",14
"67","Goniastrea stelligera",13
"7","Acropora clathrata",12
"11","Acropora echinata",12
"43","Coeloseris mayeri",11
"50","Dipsastraea pallida",11
"128","Porites vaughani",11
"72","Hydnophora exesa",9
"80","Lobophyllia corymbosa",9
"100","Montipora turgescens",9
"95","Montipora informis",8
"6","Acropora cerealis",7
"29","Acropora pulchra",7
"45","Cyphastrea serailia",7
"57","Favites pentagona",7
"92","Montipora grisea",7
"121","Porites annae",7
"63","Goniastrea edwardsi",6
"119","Pocillopora meandrina",6
"19","Acropora lutkeni",5
"26","Acropora nana",5
"39","Astra curta",5
"96","Montipora mollis",5
"113","Platygyra pini",5
"12","Acropora florida",4
"18","Acropora latistella",4
"53","Favites abdita",4
"55","Favites halicora",4
"77","Leptastrea transversa",4
"87","Montipora corbettensis",4
"89","Montipora effusa",4
"98","Montipora spongodes",4
"126","Porites rus",4
"1","Acropora abrotanoides",3
"10","Acropora divaricata",3
"33","Acropora secale",3
"36","Acropora tenuis",3
"59","Fungia fungites",3
"78","Leptoria irregularis",3
"81","Lobophyllia hemprichii",3
"97","Montipora peltiformis",3
"108","Pavona venosa",3
"114","Platygyra sinensis",3
"123","Porites cylindrica",3
"125","Porites nigrescens",3
"131","Psammocora profoundacella",3
"133","Stylocoeniella armata",3
"2","Acropora acuminata",2
"4","Acropora aspera",2
"14","Acropora grandis",2
"22","Acropora millepora",2
"35","Acropora solitaryensis",2
"37","Acropora valenciennesi",2
"41","Caulastrea ",2
"42","Coelastrea aspera",2
"46","Dipsastraea heliopora",2
"48","Dipsastraea lizardensis",2
"49","Dipsastraea matthaii",2
"51","Dipsastraea speciosa",2
"54","Favites flexuosa",2
"62","Gardineroseris planulata",2
"64","Goniastrea favulus",2
"82","Lobophyllia recta",2
"85","Montipora calcarea",2
"86","Montipora caliculata",2
"90","Montipora floweri",2
"91","Montipora foveolata",2
"99","Montipora tuberculosa",2
"104","Pavona duerdeni",2
"105","Pavona explanulata",2
"112","Platygyra lamellina",2
"115","Platygyra verweyi",2
"116","Pleuractis paumotensis",2
"127","Porites solida",2
"129","Psammocora digitata",2
"3","Acropora anthocercis",1
"5","Acropora austera",1
"20","Acropora microphthalma",1
"23","Acropora minuta",1
"28","Acropora papillare",1
"31","Acropora samoensis",1
"32","Acropora sarmentosa",1
"40","Astreopora listeri",1
"47","Dipsastraea laxa",1
"52","Echinopora horrida",1
"56","Favites micropentagonus",1
"58","Favites stylifera",1
"65","Goniastrea minuta",1
"68","Goniopora djiboutiensis",1
"69","Goniopora pandorensis",1
"70","Goniopora pedunculata",1
"71","Goniopora tenuidens",1
"76","Isopora togianensis",1
"83","Merulina ampliata",1
"84","Montipora aequituberculata",1
"88","Montipora efflorescens",1
"93","Montipora hispida",1
"94","Montipora hoffmeisteri",1
"101","Montipora turtlensis",1
"102","Montipora venosa",1
"103","Pavona clavus",1
"106","Pavona maldivensis",1
"107","Pavona varians",1
"109","Platygyra acuta",1
"110","Platygyra contorta",1
"122","Porites cumulatus",1
"130","Psammocora haimiana",1
