Var1,Freq,Growth
Acropora abrotanoides,3,branching_open
Acropora acuminata,2,branching_open
Acropora anthocercis,1,NA
Acropora aspera,2,branching_open
Acropora austera,1,branching_open
Acropora cerealis,6,branching_open
Acropora clathrata,12,table_plate
Acropora cytherea,199,table_plate
Acropora digitifera,124,NA
Acropora divaricata,2,table_plate
Acropora echinata,9,hispidose
Acropora florida,2,table_plate
Acropora gemmifera,36,digitate
Acropora grandis,2,table_plate
Acropora humilis,44,digitate
Acropora hyacinthus,461,table_plate
Acropora intermedia,28,branching_open
Acropora latistella,4,corymbose
Acropora lutkeni,4,branching_open
Acropora microphthalma,1,branching_open
Acropora milleopora,22,corymbose
Acropora millepora,2,corymbose
Acropora minuta,NA,encrusting
Acropora monticulosa,7,digitate
Acropora muricata,15,branching_open
Acropora nana,4,branching_closed
Acropora nasuta,28,corymbose
Acropora papillare,1,branching_open
Acropora pulchra,6,branching_open
Acropora robusta,117,branching_open
Acropora samoensis,1,NA
Acropora sarmentosa,1,corymbose
Acropora secale,3,branching_closed
Acropora selago,18,corymbose
Acropora solitaryensis,1,solitary
Acropora tenuis,3,corymbose
Acropora valenciennesi,2,branching_open
Acropora valida,22,NA
Astra curta,5,NA
Astreopora listeri,1,NA
Coelastrea aspera,2,NA
Coeloseris mayeri,11,massive
Cyphastrea microphthalma,21,NA
Cyphastrea serailia,7,NA
Dipsastraea heliopora,2,NA
Dipsastraea laxa,1,massive
Dipsastraea lizardensis,2,massive
Dipsastraea matthaii,2,massive
Dipsastraea pallida,11,massive
Dipsastraea speciosa,2,massive
Echinopora horrida,1,encrusting_long_uprights
Favites abdita,4,massive
Favites flexuosa,2,massive
Favites halicora,3,massive
Favites micropentagonus,1,NA
Favites pentagona,7,NA
Favites stylifera,1,NA
Fungia fungites,3,massive
Galaxea astreata,49,NA
Galaxea fascicularis,114,massive
Gardineroseris planulata,2,NA
Goniastrea edwardsi,6,massive
Goniastrea favulus,2,NA
Goniastrea minuta,1,NA
Goniastrea retiformis,26,NA
Goniastrea stelligera,12,NA
Goniopora djiboutiensis,1,NA
Goniopora pandorensis,1,columnar
Goniopora pedunculata,1,NA
Goniopora tenuidens,NA,massive
Hydnophora exesa,6,NA
Hydnophora microconos,17,massive
Isopora cuneata,36,NA
Isopora palifera,1119,NA
Isopora togianensis,1,NA
Leptastrea transversa,4,NA
Leptoria irregularis,3,NA
Leptoria phrygia,23,NA
Lobophyllia corymbosa,9,NA
Lobophyllia hemprichii,3,NA
Lobophyllia recta,2,NA
Merulina ampliata,1,NA
Montipora aequituberculata,1,NA
Montipora calcarea,2,NA
Montipora caliculata,2,massive
Montipora corbettensis,4,NA
Montipora efflorescens,1,NA
Montipora effusa,4,NA
Montipora floweri,2,submassive
Montipora foveolata,2,NA
Montipora grisea,7,NA
Montipora hispida,1,encrusting_long_uprights
Montipora hoffmeisteri,1,encrusting
Montipora informis,7,NA
Montipora mollis,5,NA
Montipora peltiformis,3,NA
Montipora spongodes,4,NA
Montipora tuberculosa,2,NA
Montipora turgescens,8,NA
Montipora turtlensis,1,NA
Montipora venosa,1,massive
Pavona duerdeni,2,massive
Pavona explanulata,2,NA
Pavona maldivensis,1,NA
Pavona varians,1,NA
Pavona venosa,3,NA
Platygyra acuta,1,massive
Platygyra contorta,1,NA
Platygyra daedalea,14,NA
Platygyra lamellina,2,NA
Platygyra pini,5,NA
Platygyra sinensis,3,NA
Platygyra verweyi,2,massive
Pleuractis paumotensis,2,massive
Pocillopora damicornis,353,branching_closed
Pocillopora grandis,34,NA
Pocillopora meandrina,5,branching_closed
Pocillopora verrucosa,78,branching_closed
Porites annae,7,NA
Porites cumulatus,1,branching_closed
Porites cylindrica,1,NA
Porites lichen,14,NA
Porites nigrescens,2,NA
Porites rus,4,NA
Porites solida,2,massive
Porites vaughani,8,NA
Psammocora digitata,2,NA
Psammocora profoundacella,3,NA
Seriatopora hystrix,162,branching_closed
Stylocoeniella armata,2,encrusting
Stylophora pistillata,478,NA
Pavona clavus,NA,NA
Psammocora haimiana,NA,submassive
